TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,LATITUDE,LONGITUDE,SUBWAY_STATION,DISTANCE,KINDERGARTEN,SCHOOL,COLLEGE,CAFE,BAR,PARKING,SUPERMARKET,ZIP_CODE
Co-op,205900.0,1,1,750.0,Queens County,The Bronx,Kew Gardens,125,40.7119297,-73.826361,Union Turnpike / Kew Gardens,365.69792027029735,2.0,10.0,1.0,15.0,10.0,25.0,14.0,11415
Co-op,265000.0,1,1,765.0,Kings County,Brooklyn,Midwood,1250,40.6180698,-73.9699744,Bay Parkway & 66 Street,1168.664146454555,0.0,30.0,1.0,16.0,0.0,3.0,19.0,11230
Co-op,169999.0,1,1,2184.207862,Queens County,Queens,Howard Beach,153-25,40.6661012,-73.8471882,111 Street,3543.0090819615593,1.0,2.0,0.0,1.0,0.0,2.0,1.0,11414
House,775000.0,3,1,1696.0,New York,Bronx County,The Bronx,Fairfax Avenue,40.8377397,-73.8241472,Castle Hill Avenue NE Corner,2339.5751213880353,0.0,11.0,0.0,1.0,1.0,1.0,3.0,10465
House,685000.0,4,2,2269.0,New York,Richmond County,Staten Island,Richmond Hill Road,40.5849183,-74.1599388,Bay Parkway & 66 Street,15374.444410511462,0.0,0.0,0.0,4.0,0.0,0.0,2.0,10314
Multi-family home,1245000.0,7,6,2184.207862,New York,Queens County,Queens,112th Street,40.7591289,-73.8579008,Mets-Willets Point LIRR Platform,1387.5860230083058,0.0,3.0,0.0,11.0,11.0,3.0,17.0,11369
Co-op,795000.0,1,1,2184.207862,New York County,New York,Manhattan,363,40.7707242,-73.9542132,72nd Street & 2nd Avenue at Northwest Corner,403.1197261855884,3.0,39.0,1.0,144.0,52.0,14.0,42.0,10021
Condo,445000.0,3,1,402.0,Queens County,Queens,Long Island City,25-74,40.7680157,-73.9174508,Platform A,2652.770549369258,1.0,9.0,0.0,80.0,62.0,2.0,33.0,11103
Co-op,399000.0,2,1,960.0,Kings County,Brooklyn,Coney Island,464,40.5792324,-73.9713245,Bay Parkway & 66 Street,3858.364533474694,2.0,5.0,0.0,17.0,8.0,4.0,12.0,11224
Multi-family home,1990000.0,6,5,2150.0,New York,Queens County,Queens,46th Avenue,40.7557556,-73.7774071,Platform B - Overpass,934.8480464351652,2.0,1.0,0.0,14.0,2.0,0.0,4.0,11361
Co-op,529000.0,2,1,2184.207862,New York County,New York,Manhattan,100,40.8558902,-73.9351781,190th St (A),349.02437876766965,0.0,19.0,0.0,11.0,8.0,3.0,12.0,10040
Co-op,1074600.0,6,6,1870.5247172000004,New York County,New York,Manhattan,1045,40.7802712,-73.9567847,East 86th Street & Lexington Avenue at Northwest Corner,101.06124881084298,12.0,51.0,1.0,167.0,62.0,16.0,55.0,10028
Co-op,595000.0,1,1,2184.207862,New York County,New York,Manhattan,160,40.8540347,-73.9393276,181st St (A) upper level,203.1075484164753,0.0,15.0,0.0,11.0,7.0,3.0,11.0,10033
Co-op,525000.0,3,2,2184.207862,Kings County,Brooklyn,Coney Island,458,40.5794182,-73.9709078,Bay Parkway & 66 Street,3846.832147470657,2.0,5.0,0.0,17.0,8.0,4.0,12.0,11224
Co-op,479000.0,2,1,1100.0,Kings County,Brooklyn,Coney Island,2932,40.5778092,-73.9728288,Bay Parkway & 66 Street,3985.170231326416,2.0,5.0,0.0,16.0,7.0,3.0,10.0,11224
Co-op,1087600.0,4,4,1456.0831448000001,New York,New York County,New York,Park Avenue,40.7622996,-73.9698344,East 59th Street & Lexington Avenue at Southwest Corner,106.74958622284814,7.0,38.0,5.0,306.0,108.0,49.0,50.0,10022
Co-op,460000.0,2,1,2184.207862,New York County,New York,Manhattan,151,40.8002612,-73.9648347,St Nicholas Ave & Central Park North At Nw Corner,1044.99950152341,13.0,48.0,1.0,85.0,32.0,9.0,40.0,10025
House,1200000.0,4,2,2184.207862,New York,Queens County,Queens,206th Street,40.75515,-73.7757869,Platform B - Overpass,935.7171642272904,2.0,1.0,0.0,14.0,2.0,0.0,5.0,11361
Condo,2208800.0,2,2,1853.0,New York County,New York,Manhattan,173,40.7347565,-74.0097145,Broadway & Houston Street at Northeast Corner,1521.954400944605,4.0,28.0,6.0,281.0,188.0,9.0,49.0,10014
